id,name,party
ul,Ursula von der Leyen,CDU
lk,Lars Klingbeil,SPD
nr,Norbert Roettgen,CDU
sw,Sahra Wagenknecht,Linke 
cs,Constanze Stelzenmueller,NA
cl,Christian Lindner,FDP
ks,Karl Schlögel,NA
lm,Ljudmyla Melnyk,NA
kd,Kristina Dunz,NA
el,Egis Levits,NA
ab,Annalena Baerbock,Gruene
ft,Franz Timmermanns,NA
am,Andrji Melnyk,NA
al,Alexander Graf Lambsdorf,FDP
er,Egon Ramms,NA
rh,Robert Habeck,Gruene
cm,Claudia Major,NA
kp,Katja Petrowskaja,NA
rk,Roderich Kiesewetter,CDU
500,Folge 500,NA
501,Folge 501,NA
502,Folge 502,NA
503,Folge 503,NA